artist_name.x,track_name.y,year,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,valence,duration_ms
!!!,All My Heroes Are Weirdos,2008,0.503,0.992,-5.888999999999999,0.0847,0.001265,0.05395,0.0762,122.34049999999999,0.611,184080
All Mankind,Break The Spell,2012,0.5483333333333333,0.83,-5.862333333333333,0.03793333333333333,0.0012733333333333333,0.0038233333333333335,0.3426666666666667,151.966,0.8186666666666667,194600
All Tvvins,Darkest Ocean,2016,0.604,0.879,-3.812,0.0515,0.00167,1.22e-4,0.355,124.045,0.22,221752
American Authors,Hit It,2014,0.64025,0.913,-3.66575,0.09417500000000001,0.0023525,0,0.50775,120.06875,0.74775,207443
Ana Tijoux,1977,2011,0.6817500000000001,0.6875,-7.2065,0.040275,0.0040575,4.1225e-4,0.09947500000000001,103.941,0.5665,202498.5
Andreya Triana,Beautiful People,2019,0.502,0.923,-4.009,0.107,0.0723,2.28e-5,0.0295,140.875,0.968,149413
Animal Kingdom,Get Away With It,2013,0.507,0.8554999999999999,-7.359,0.0513,0.0237,0.003205,0.4025,135.96550000000002,0.47950000000000004,195266
Antiloop,In My Mind,2003,0.573,0.981,-7.634,0.0674,0.0034,0.755,0.34,141.168,0.0642,208040
Architecture in Helsinki,Escapee,2012,0.6718000000000001,0.7452,-4.4643999999999995,0.02808,0.04108,6.84e-7,0.1218,110.9636,0.7142,178058.6
Art Brut,Direct Hit,2008,0.2915,0.9575,-2.9365,0.08995,0.0713,4.44e-6,0.622,153.25799999999998,0.3925,210733
Aterciopelados,Paces,2008,0.6214999999999999,0.9215,-5.37,0.051949999999999996,0.0958,0,0.0796,133.965,0.68,278013
atl-J,Deadcrush,2018,0.648,0.6128,-6.8412,0.061059999999999996,0.0898,0.3532,0.1134,142.991,0.5923999999999999,231813
Atlas Genius,Stockholm,2016,0.568,0.746,-5.437,0.0462,0.0054,0,0.162,125.04,0.409,191640
Atomic Drum Assembly,Island Life,2019,0.541,0.921,-4.667,0.0379,4.21e-4,0.215,0.316,165.994,0.325,205266
Auletta,Meine Stadt,2010,0.5885,0.841,-4.263,0.0365,0.0338,2.13e-6,0.275,108.0675,0.41,210752
AURORA,Conqueror,2016,0.467,0.565,-6.732,0.0403,0.00411,0.00475,0.175,184.014,0.522,207506
AVICII,The Nights,2015,0.527,0.835,-5.298,0.0433,0.0166,0,0.249,125.983,0.654,176658
Babamars,The Core,2008,0.561,0.868,-5.727,0.0364,0.00627,0.0287,0.0934,177.962,0.971,219640
Bad Sounds,Wages,2018,0.518,0.875,-2.548,0.041,0.00522,6.3e-6,0.575,98.045,0.749,167839
Baiana System,Playsom,2016,0.913,0.824,-5.903,0.0777,0.124,6.46e-4,0.106,127.959,0.96,238040
Baio,Sister Of Pearl,2016,0.727,0.653,-7.73,0.0442,0.0763,0.211,0.204,125.055,0.944,253440
Bakar,Big Dreams,2019,0.635,0.89,-6.182,0.0769,0.00491,0,0.0731,180.045,0.533,153437
Balkan Beat Box,I Trusted U,2017,0.669,0.6475,-5.606999999999999,0.2755,0.01435,3.820000000000001e-6,0.0678,153.113,0.794,222522.5
Band Of Horses,Feud,2013,0.46625000000000005,0.70975,-9.01325,0.030425,5.8025e-4,0,0.074975,148.51625,0.40725,176813
Barns Courtney,Hobo Rocket,2017,0.565,0.919,-4.934,0.0836,0.161,0,0.476,96.025,0.527,187626
Bastille,Send Them Off!,2017,0.614,0.807,-3.405,0.0529,0.13,0,0.255,99.989,0.427,200987
Beaty Heart,Slide To The Side,2017,0.718,0.576,-5.993,0.0281,0.00986,0.0399,0.119,97.077,0.488,226083
Belasco,Chloroform,2007,0.41,0.917,-4.329,0.0725,3.77e-4,0.0066,0.124,94.687,0.286,189000
Billie Eilish,you should see me in a crown,2019,0.678,0.533,-10.485,0.186,0.462,0.219,0.139,150.455,0.323,180952
BLK JKS,Lakeside,2010,0.4225,0.8265,-6.0375,0.05235,0.0802,0.2425,0.6114999999999999,135.0365,0.443,247613
